sample	day	condition	mean_meth
gDNA_Day4_DNMT1i_Recovery	4	gDNA	0.170173998978699
gDNA_Day6_DNMT1i_Recovery	6	gDNA	0.600059827628501
cfDNA_Day4_DNMT1i_Recovery	4	cfDNA	0.15095246986479
cfDNA_Day3_DNMT1i	3	cfDNA	0.216169367539888
gDNA_Day5_DNMT1i_Recovery	5	gDNA	0.390860145981299
cfDNA_Day2_DNMT1i	2	cfDNA	0.393383001690211
cfDNA_Day1_DNMT1i	1	cfDNA	0.591723599321268
gDNA_Day3_DNMT1i	3	gDNA	0.186775766460282
gDNA_Day1_DNMT1i	1	gDNA	0.4023591438009
cfDNA_Day0	0	cfDNA	0.86920785318391
cfDNA_Day6_DNMT1i_Recovery	6	cfDNA	0.487436241463575
gDNA_Day2_DNMT1i	2	gDNA	0.234926128101591
cfDNA_Day5_DNMT1i_Recovery	5	cfDNA	0.201779796301669
gDNA_Day0	0	gDNA	0.870597680339939
